Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C7","Cpol 1000uF","CP_Radial_D10.0mm_P5.00mm",101.000000,-61.023345,-90.000000,bottom
"D8","1N5822","D_DO-201AD_P15.24mm_Horizontal",89.500000,-60.891022,180.000000,bottom
"D9","1N5822","D_DO-201AD_P15.24mm_Horizontal",65.000000,-55.701022,90.000000,bottom
"D10","1N5822","D_DO-201AD_P15.24mm_Horizontal",81.500000,-55.701022,90.000000,bottom
"D11","1N5822","D_DO-201AD_P15.24mm_Horizontal",74.380000,-69.391022,0.000000,bottom
"D12","1N5822","D_DO-201AD_P15.24mm_Horizontal",55.365000,-67.036022,90.000000,bottom
